id,배지 이름,배지 설명,배지 타입,희귀도,거리(km),고도(m),속도(km/h),온도(°C),시간(분),연속(일),주기_조건,특수조건,선행_배지
122,아스팔트 서퍼,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(자전거),rare,140.0,,,,,,,,"언덕의 도전자,리듬의 발견"
123,아스팔트 서퍼,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(자전거),legendary,145.0,,,,,,,,"언덕의 도전자,리듬의 발견"
124,아스팔트 서퍼,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(자전거),mythic,150.0,,,,,,,,"언덕의 도전자,리듬의 발견"
125,체인의 비명,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(자전거),common,160.0,,,,,,,,
126,체인의 비명,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(자전거),rare,165.0,,,,,,,,"언덕의 도전자,리듬의 발견"
127,체인의 비명,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(자전거),legendary,170.0,,,,,,,,"언덕의 도전자,리듬의 발견"
128,체인의 비명,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(자전거),mythic,175.0,,,,,,,,"언덕의 도전자,리듬의 발견"
129,허벅지의 반란,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(자전거),common,185.0,,,,,,,,
130,허벅지의 반란,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(자전거),rare,190.0,,,,,,,,"언덕의 도전자,리듬의 발견"
131,허벅지의 반란,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(자전거),legendary,195.0,,,,,,,,"언덕의 도전자,리듬의 발견"
132,허벅지의 반란,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(자전거),mythic,200.0,,,,,,,,"언덕의 도전자,리듬의 발견"
133,자전거 도로의 유령,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(자전거),common,210.0,,,,,,,,
134,자전거 도로의 유령,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(자전거),rare,215.0,,,,,,,,"언덕의 도전자,리듬의 발견"
135,자전거 도로의 유령,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(자전거),legendary,220.0,,,,,,,,"언덕의 도전자,리듬의 발견"
136,자전거 도로의 유령,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(자전거),mythic,225.0,,,,,,,,"언덕의 도전자,리듬의 발견"
137,다운힐의 쾌감,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(자전거),common,235.0,,,,,,,,
138,다운힐의 쾌감,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(자전거),rare,240.0,,,,,,,,"언덕의 도전자,리듬의 발견"
139,다운힐의 쾌감,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(자전거),legendary,245.0,,,,,,,,"언덕의 도전자,리듬의 발견"
140,다운힐의 쾌감,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(자전거),mythic,250.0,,,,,,,,"언덕의 도전자,리듬의 발견"
141,업힐의 지배자,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(자전거),common,260.0,,,,,,,,
142,업힐의 지배자,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(자전거),rare,265.0,,,,,,,,"언덕의 도전자,리듬의 발견"
143,업힐의 지배자,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(자전거),legendary,270.0,,,,,,,,"언덕의 도전자,리듬의 발견"
144,업힐의 지배자,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(자전거),mythic,275.0,,,,,,,,"언덕의 도전자,리듬의 발견"
145,무한의 기어,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(자전거),common,285.0,,,,,,,,
146,무한의 기어,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(자전거),rare,290.0,,,,,,,,"언덕의 도전자,리듬의 발견"
147,무한의 기어,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(자전거),legendary,295.0,,,,,,,,"언덕의 도전자,리듬의 발견"
148,무한의 기어,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(자전거),mythic,300.0,,,,,,,,"언덕의 도전자,리듬의 발견"
149,폭주하는 엔진,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(자전거),common,310.0,,,,,,,,
150,폭주하는 엔진,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(자전거),rare,315.0,,,,,,,,"언덕의 도전자,리듬의 발견"
151,폭주하는 엔진,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(자전거),legendary,320.0,,,,,,,,"언덕의 도전자,리듬의 발견"
152,폭주하는 엔진,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(자전거),mythic,325.0,,,,,,,,"언덕의 도전자,리듬의 발견"
153,광속의 라이더,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(자전거),common,335.0,,,,,,,,
154,광속의 라이더,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(자전거),rare,340.0,,,,,,,,"언덕의 도전자,리듬의 발견"
155,광속의 라이더,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(자전거),legendary,345.0,,,,,,,,"언덕의 도전자,리듬의 발견"
156,광속의 라이더,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(자전거),mythic,350.0,,,,,,,,"언덕의 도전자,리듬의 발견"
157,두 바퀴의 전설,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(자전거),common,360.0,,,,,,,,
158,두 바퀴의 전설,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(자전거),rare,365.0,,,,,,,,"언덕의 도전자,리듬의 발견"
159,두 바퀴의 전설,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(자전거),legendary,370.0,,,,,,,,"언덕의 도전자,리듬의 발견"
160,두 바퀴의 전설,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(자전거),mythic,375.0,,,,,,,,"언덕의 도전자,리듬의 발견"
161,언덕의 도전자,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(고도),common,,50,,,,,,,
162,언덕의 도전자,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(고도),rare,,100,,,,,,,"첫 숨결,두 바퀴의 시작"
163,언덕의 도전자,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(고도),legendary,,150,,,,,,,"첫 숨결,두 바퀴의 시작"
164,언덕의 도전자,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(고도),mythic,,200,,,,,,,"첫 숨결,두 바퀴의 시작"
165,비탈길의 투사,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(고도),common,,300,,,,,,,
166,비탈길의 투사,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(고도),rare,,350,,,,,,,"첫 숨결,두 바퀴의 시작"
167,비탈길의 투사,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(고도),legendary,,400,,,,,,,"첫 숨결,두 바퀴의 시작"
168,비탈길의 투사,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(고도),mythic,,450,,,,,,,"첫 숨결,두 바퀴의 시작"
169,구름을 향한 발걸음,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(고도),common,,550,,,,,,,
170,구름을 향한 발걸음,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(고도),rare,,600,,,,,,,"첫 숨결,두 바퀴의 시작"
171,구름을 향한 발걸음,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(고도),legendary,,650,,,,,,,"첫 숨결,두 바퀴의 시작"
172,구름을 향한 발걸음,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(고도),mythic,,700,,,,,,,"첫 숨결,두 바퀴의 시작"
173,하늘과 닿은 자,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(고도),common,,800,,,,,,,
174,하늘과 닿은 자,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(고도),rare,,850,,,,,,,"첫 숨결,두 바퀴의 시작"
175,하늘과 닿은 자,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(고도),legendary,,900,,,,,,,"첫 숨결,두 바퀴의 시작"
176,하늘과 닿은 자,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(고도),mythic,,950,,,,,,,"첫 숨결,두 바퀴의 시작"
177,고도의 정복자,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(고도),common,,1050,,,,,,,
178,고도의 정복자,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(고도),rare,,1100,,,,,,,"첫 숨결,두 바퀴의 시작"
179,고도의 정복자,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(고도),legendary,,1150,,,,,,,"첫 숨결,두 바퀴의 시작"
180,고도의 정복자,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(고도),mythic,,1200,,,,,,,"첫 숨결,두 바퀴의 시작"
181,산맥의 그림자,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(고도),common,,1300,,,,,,,
182,산맥의 그림자,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(고도),rare,,1350,,,,,,,"첫 숨결,두 바퀴의 시작"
183,산맥의 그림자,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(고도),legendary,,1400,,,,,,,"첫 숨결,두 바퀴의 시작"
184,산맥의 그림자,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(고도),mythic,,1450,,,,,,,"첫 숨결,두 바퀴의 시작"
185,대기의 경계선,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(고도),common,,1550,,,,,,,
186,대기의 경계선,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(고도),rare,,1600,,,,,,,"첫 숨결,두 바퀴의 시작"
187,대기의 경계선,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(고도),legendary,,1650,,,,,,,"첫 숨결,두 바퀴의 시작"
188,대기의 경계선,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(고도),mythic,,1700,,,,,,,"첫 숨결,두 바퀴의 시작"
189,중력의 저항군,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(고도),common,,1800,,,,,,,
190,중력의 저항군,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(고도),rare,,1850,,,,,,,"첫 숨결,두 바퀴의 시작"
191,중력의 저항군,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(고도),legendary,,1900,,,,,,,"첫 숨결,두 바퀴의 시작"
192,중력의 저항군,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(고도),mythic,,1950,,,,,,,"첫 숨결,두 바퀴의 시작"
193,태양과 가장 가까운 곳,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(고도),common,,2050,,,,,,,
194,태양과 가장 가까운 곳,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(고도),rare,,2100,,,,,,,"첫 숨결,두 바퀴의 시작"
195,태양과 가장 가까운 곳,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(고도),legendary,,2150,,,,,,,"첫 숨결,두 바퀴의 시작"
196,태양과 가장 가까운 곳,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(고도),mythic,,2200,,,,,,,"첫 숨결,두 바퀴의 시작"
197,대지의 기둥,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(고도),common,,2300,,,,,,,
198,대지의 기둥,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(고도),rare,,2350,,,,,,,"첫 숨결,두 바퀴의 시작"
199,대지의 기둥,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(고도),legendary,,2400,,,,,,,"첫 숨결,두 바퀴의 시작"
200,대지의 기둥,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(고도),mythic,,2450,,,,,,,"첫 숨결,두 바퀴의 시작"
201,시간의 마술사,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(시간),common,,,,,15,,,,
202,시간의 마술사,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(시간),rare,,,,,25,,,,"동네 산책러,첫 숨결"
203,시간의 마술사,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(시간),legendary,,,,,35,,,,"동네 산책러,첫 숨결"
204,시간의 마술사,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(시간),mythic,,,,,45,,,,"동네 산책러,첫 숨결"
205,찰나의 몰입,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(시간),common,,,,,60,,,,
206,찰나의 몰입,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(시간),rare,,,,,70,,,,"동네 산책러,첫 숨결"
207,찰나의 몰입,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(시간),legendary,,,,,80,,,,"동네 산책러,첫 숨결"
208,찰나의 몰입,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(시간),mythic,,,,,90,,,,"동네 산책러,첫 숨결"
209,멈추지 않는 시계,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(시간),common,,,,,105,,,,
210,멈추지 않는 시계,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(시간),rare,,,,,115,,,,"동네 산책러,첫 숨결"
211,멈추지 않는 시계,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(시간),legendary,,,,,125,,,,"동네 산책러,첫 숨결"
212,멈추지 않는 시계,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(시간),mythic,,,,,135,,,,"동네 산책러,첫 숨결"
213,고요한 지속,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(시간),common,,,,,150,,,,
214,고요한 지속,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(시간),rare,,,,,160,,,,"동네 산책러,첫 숨결"
215,고요한 지속,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(시간),legendary,,,,,170,,,,"동네 산책러,첫 숨결"
216,고요한 지속,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(시간),mythic,,,,,180,,,,"동네 산책러,첫 숨결"
217,영원의 궤도,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(시간),common,,,,,195,,,,
218,영원의 궤도,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(시간),rare,,,,,205,,,,"동네 산책러,첫 숨결"
219,영원의 궤도,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(시간),legendary,,,,,215,,,,"동네 산책러,첫 숨결"
220,영원의 궤도,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(시간),mythic,,,,,225,,,,"동네 산책러,첫 숨결"
221,시간의 축적,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(시간),common,,,,,240,,,,
222,시간의 축적,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(시간),rare,,,,,250,,,,"동네 산책러,첫 숨결"
223,시간의 축적,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(시간),legendary,,,,,260,,,,"동네 산책러,첫 숨결"
224,시간의 축적,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(시간),mythic,,,,,270,,,,"동네 산책러,첫 숨결"
225,끈기의 미학,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(시간),common,,,,,285,,,,
226,끈기의 미학,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(시간),rare,,,,,295,,,,"동네 산책러,첫 숨결"
227,끈기의 미학,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(시간),legendary,,,,,305,,,,"동네 산책러,첫 숨결"
228,끈기의 미학,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(시간),mythic,,,,,315,,,,"동네 산책러,첫 숨결"
229,멈춤 없는 모래시계,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(시간),common,,,,,330,,,,
230,멈춤 없는 모래시계,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(시간),rare,,,,,340,,,,"동네 산책러,첫 숨결"
231,멈춤 없는 모래시계,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(시간),legendary,,,,,350,,,,"동네 산책러,첫 숨결"
232,멈춤 없는 모래시계,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(시간),mythic,,,,,360,,,,"동네 산책러,첫 숨결"
233,시간의 지배자,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(시간),common,,,,,375,,,,
234,시간의 지배자,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(시간),rare,,,,,385,,,,"동네 산책러,첫 숨결"
235,시간의 지배자,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(시간),legendary,,,,,395,,,,"동네 산책러,첫 숨결"
236,시간의 지배자,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(시간),mythic,,,,,405,,,,"동네 산책러,첫 숨결"
237,영원을 걷는 자,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(시간),common,,,,,420,,,,
238,영원을 걷는 자,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(시간),rare,,,,,430,,,,"동네 산책러,첫 숨결"
239,영원을 걷는 자,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(시간),legendary,,,,,440,,,,"동네 산책러,첫 숨결"
240,영원을 걷는 자,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(시간),mythic,,,,,450,,,,"동네 산책러,첫 숨결"
241,리듬의 발견,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(속도),common,,,8.0,,,,,,
242,리듬의 발견,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(속도),rare,,,9.0,,,,,,"첫 숨결,두 바퀴의 시작"
243,리듬의 발견,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(속도),legendary,,,10.0,,,,,,"첫 숨결,두 바퀴의 시작"
244,리듬의 발견,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(속도),mythic,,,11.0,,,,,,"첫 숨결,두 바퀴의 시작"
245,바람의 파편,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(속도),common,,,12.5,,,,,,
246,바람의 파편,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(속도),rare,,,13.5,,,,,,"첫 숨결,두 바퀴의 시작"
247,바람의 파편,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(속도),legendary,,,14.5,,,,,,"첫 숨결,두 바퀴의 시작"
